Marca temporal,Ingrese la pregunta,Respuesta 1,Respuesta 2,Respuesta 3,¿Cual es la respuesta correcta?,Materia
50,¿Cuales de las siguientes son enfermedades de transmisión sexual ETS?,"Chikunguya, malaria, herpes genital","Hepatitis B, fiebre tifoidea, lepra","Gonorrea, clamidia, sífilis",Respuesta 3,Biologia
51,¿Cuál de estos países se extiende entre dos continentes?,Rusia,Groenlandia,Egipto,Respuesta 1,Geografia
52,¿Cuáles son los nombres de los tres reyes magos?,"Gaspar, Nicolas y Nataniel","Simon, Judas y Mateo","Gaspar, Melchor y Baltazar",Respuesta 3,Cultura General
53,"¿Cuál es el tipo sanguíneo considerado como ""donante universal""?",Tipo O,Tipo A,Tipo B,Respuesta 1,Biologia
54,"Según la leyenda de la fundación de Roma, ¿quién amamantó a los gemelos Rómulo y Remo?",Una cabra,Una loba,Una vaca,Respuesta 2,Historia
55,¿Cuántos grados son necesarios para que dos ángulos sean complementarios?,45°,360°,90°,Respuesta 3,Matematica
56,¿Cuántos jugadores pueden participar por equipo en el basquetbol?,4,5,6,Respuesta 2,Educacion Fisica
57,¿Cuántos lados tiene un heptágono?,7 lados,ocho lados,6 lados,Respuesta 1,Matematica
58,¿Quién ganó el mundial de fútbol de 2010?,España,Brasil,Alemania,Respuesta 1,Educacion Fisica
59,¿ En que año se realizo el mundial de futbol en Argentina?,1982,1978,1974,Respuesta 2,Eduacion Fisica
60,¿Cuál es el futbolista con más balones de oro?,Messi,Ronaldo,Zidane,Respuesta 1,Educacion Fisica
61,¿Qué gas liberan las plantas al hacer la fotosíntesis?,Oxigeno,Nitrogeno,Argon,Respuesta 1,Biologia
62,¿Cuántos dientes tenemos?,32,42,22,Respuesta 1,Biologia
63,¿Cuánto duró “La Guerra de los Cien Años”?,100,106,116,Respuesta 3,Historia
64, ¿Cuántos anillos hay en la bandera olímpica?,4,5,6,Respuesta 2,Educacion Fisica
65,¿En qué año el ser humano llegó a la luna?,1960,1965,1969,Respuesta 3,Cultura general
66,¿Quién es el fundador de Facebook?,Mark Zuckerberg.,Steve Jobs,Bill Gates,Respuesta 1,Informatica
67,¿De qué grupo formaba parte Paul McCartney?,The Beatles,Rolling Stones,U2,Respuesta 1,Cultura General
68,¿Cuáles son los tres colores primarios?,"El amarillo, el azul y el rojo.","verde, violeta y negro","amarillo, naranja y marron",Respuesta 1,Artistica
69,¿Cuál es el club de fútbol con más Champions?,Real Madrid,El Inter,Barcelona,Respuesta 1,Educacion Fisica
70,¿Qué equipo juega en el Parque de los Príncipes?,Barcelona,Milan,PSG,Respuesta 3,Educacion Fisica
71,¿Qué pigmento permite a las plantas hacer la fotosíntesis?,Clorofila,carotenos,ficobilinas,Respuesta 1,Biologia
72,¿Qué selección de fútbol tiene más mundiales?,Brasil,Alemania,Italia,Respuesta 1,Educacion Fisica
73,¿Cómo murió Kurt Cobain?,Accidente,Suicidio,Paro Cardiaco,Respuesta 2,Cultura General
74,¿Cuándo sucedieron los atentados de las Torres Gemelas?,11 de septiembre del 2001,11 de septiembre del 2000,11 de septiembre del 2005,Respuesta 1,Cultura General
75,¿Cuál es el órgano más grande del cuerpo humano?,Los pulmones,El higado,La piel,Respuesta 3,Biologia
76,¿Cuál es el videojuego más vendido de la historia?,Minecraft,Elden Ring,Fortnite,Respuesta 1,Cultura General
77,¿Quien fue el cantante de Soda Stereo?,Andres Calamaro,Charly Garcia,Gustavo Ceratti,Respuesta 3,Cultura General
78,¿Cuál es la videoconsola más vendida de la historia?,Atari,Segga,PlayStation 2,Respuesta 3,Cultura General
79,¿Cual es la capital de Uruguay?,Bogota,Montevideo,Quito,Respuesta 2,Geografia
80,¿Quienes habitaban en el Machu Pichu?,Mayas,Incas,Aztecas,Respuesta 2,Historia
81,¿Dónde nació el escritor Julio Cortázar? ,Mexico,España,Argentina,Respuesta 3,Literatura
82,¿Quién es el autor de la celebrada historieta Mafalda?,Quino,Caloi,Fontanarosa,Respuesta 1,Cultura General
83,¿De quien el tema Satisfaction?,The Rolling Stones,The Beatles,Pink Floyd,Respuesta 1,Cultura General
84,¿Dónde se usó la primera bomba atómica en un conflicto armado?,Pekin,Hiroshima,Tokio,Respuesta 2,Cultura General
85,¿Cuándo acabó la II Guerra Mundial?,1944,1945,1946,Respuesta 2,Historia
86,¿De dónde surgió la celebración de los juegos olímpicos?,la antigua grecia,Persia,Roma,Respuesta 1,Educacion Fisica
87,¿Dónde se celebró la Copa Mundial de la FIFA en 1994?,Italia,Estados Unidos,Brasil,Respuesta 2,Educacion Fisica
88,¿En que año Argentina gano su segunda copa FIFA?,1994,1982,1986,Respuesta 3,Educacion Fisica
89,¿De qué país es el jugador de fútbol Luis Suárez? ,Argentina,Uruguay,España,Respuesta 2,Educacion Fisica
90,"¿Cuáles equipos de fútbol protagonizaron el partido apodado ""Maracanazo""?",Brasil - Uruguay,Brasil - Argentina,Brasil - Alemania,Respuesta 1,Educacion Fisica
91,"En la botánica, ¿el tomate es una fruta, verdura u hortaliza?",Fruta,Verdura,Hortaliza,Respuesta 1,Biologia
92,¿Cuál es el nombre de las partículas subatómicas de carga negativa?,Neutrones,Electrones,Protones,Respuesta 2,Fisica
93,"¿Cuál es el nombre del teorema que afirma que, en el triángulo rectángulo, el cuadrado de la hipotenusa es igual a la suma de los cuadrados de los catetos? Teoema de...",Pitagoras,Socrates,Aristoteles,Respuesta 1,Matematica
94,¿Quién planteó la teoría de la evolución?,Herman Melville,Charles Darwin,Jean Baptiste Lamarck,Respuesta 2,Cultura General
95,¿Qué órgano produce la bilirrubina?,Higado,Intestino,Bazo,Respuesta 1,Biologia
96,¿Quién pintó “la última cena”?,Leonardo Da Vinci,Miguel Angel,Botticelli,Respuesta 1,Historia
97,¿Cuál es el disco más vendido de la historia?,"Thriller, de Michael Jackson","Metallica, Metallica","The Dark Side of the Moon, Pink Floyd",Respuesta 1,Cultura General
98,¿De quien es el tema Wapo Traketero?,Cazzu,Maria Becerra,Nicki Nicole,Respuesta 3,Cultura General
99,¿De donde es el grupo El Cuarteto de Nos?,Argentina,Mexico,Uruguay,Respuesta 3,Cultura general
100,¿De quien es el tema Canguro?,Wos,Duki,Trueno,Respuesta 1,Cultura General
101,¿Donde nacio BZRP?,Mexico,Puerto Rico,Argentina,Respuesta 3,Cultura General
102,¿Qué deporte practicaba Michael Jordan?,Basquet,Futbol,Atletismo,Respuesta 1,Educacion Fisica
103,¿Qué país tiene forma de bota?,Noruega,Alemania,Italia,Respuesta 3,Geografia
104, ¿En qué lugar del cuerpo se produce la insulina?,Higado,Riñon,Pancreas,Respuesta 3,Biologia
105,¿De qué país es el futbolista Zlatan Ibrahimović?,Suecia,Suiza,Hungria,Respuesta 1,Educacion Fisica
106,¿Qué deporte practica profesionalmente Roger Federer?,Tenis,Futbol,Boxeo,Respuesta 1,Educacion Fisica
107,¿Cómo se llama el estadio del F.C. Barcelona?,Camp Nou,Santiago Bernabéu,Ramón Sánchez-Pizjuán,Respuesta 1,Educacion Fisica
108,¿En qué año se produce la Revolución Francesa?,1789,1787,1790,Respuesta 1,Historia
109,¿Conoces los colores primarios ?,"Amarillo, azul,rojo","Verde,anaranjado,violeta","Marrón,blanco y negro ",Respuesta 1,Educación artística
110,¿Qué es una línea?,Es la unión de dos puntos o más armando una trayectoría,Es la trayectoria constante ,Es la línea que aumenta su grosor y modula volviendo a quedar fino,Respuesta 1,Educación artística
